Designator,Mid X,Mid Y,Layer,Rotation
U302,96.3,-222,Top,0
U304,201.6,-214.1,Top,90
U402,202.9,-196.1,Top,180
U404,96.8,-200.4,Top,0
U502,96.7,-154,Top,0
U504,202,-146,Top,90
U602,203.3,-128,Top,180
U604,97.2,-132.3,Top,0
U702,96.7,-86,Top,0
U704,203,-79,Top,90
Y11,77.9,-285.8,Top,90
Y12,221.3,-302.2,Top,-90
Y21,221.7,-268.4,Top,-90
Y22,78.2,-251.9,Top,90
Y31,77.5,-217.8,Top,90
Y32,221,-234,Top,-90
Y41,221.7,-200.3,Top,-90
Y42,78.2,-184.1,Top,90
Y51,78,-149.8,Top,90
Y52,221.3,-165.9,Top,-90
Y61,222.1,-132.3,Top,-90
Y62,78.7,-116.2,Top,90
Y71,78,-81.5,Top,90
Y72,221.4,-98.2,Top,-90
